"","ship_type","fuel_type","year","consumption"
"280","O","H2",2032,0
"281","C","Oil",2033,1333.67288888889
"282","C","LNG",2033,366.393650793651
"283","C","LPG",2033,447.814462081129
"284","C","MeOH",2033,0
"285","C","NH3",2033,0
"286","C","RefPO",2033,1270.16465608466
"287","C","H2",2033,0
"288","T","Oil",2033,1614.3262639821
"289","T","LNG",2033,540.511025886865
"290","T","LPG",2033,520.492099002166
"291","T","MeOH",2033,0
"292","T","NH3",2033,0
"293","T","RefPO",2033,1441.36273569831
"294","T","H2",2033,0
"295","B","Oil",2033,1797.32498823529
"296","B","LNG",2033,668.64768907563
"297","B","LPG",2033,594.35350140056
"298","B","MeOH",2033,0
"299","B","NH3",2033,0
"300","B","RefPO",2033,1616.64152380952
"301","B","H2",2033,0
"302","G","Oil",2033,1529.66845540247
"303","G","LNG",2033,450.705884181083
"304","G","LPG",2033,485.6090334611
"305","G","MeOH",2033,0
"306","G","NH3",2033,0
"307","G","RefPO",2033,1359.70529369108
"308","G","H2",2033,0
"309","O","Oil",2033,824.435450980392
"310","O","LNG",2033,276.038655462185
"311","O","LPG",2033,286.262309368192
"312","O","MeOH",2033,0
"313","O","NH3",2033,0
"314","O","RefPO",2033,981.470774976657
"315","O","H2",2033,0
"316","C","Oil",2034,1319.17644444444
"317","C","LNG",2034,362.411111111111
"318","C","LPG",2034,442.946913580247
"319","C","MeOH",2034,0
"320","C","NH3",2034,0
"321","C","RefPO",2034,1256.35851851852
"322","C","H2",2034,0
"323","T","Oil",2034,1596.7792393736
"324","T","LNG",2034,534.635906040268
"325","T","LPG",2034,514.834576186925
"326","T","MeOH",2034,0
"327","T","NH3",2034,0
"328","T","RefPO",2034,1425.69574944072
"329","T","H2",2034,0
"330","B","Oil",2034,1777.78884705882
"331","B","LNG",2034,661.379779411765
"332","B","LPG",2034,587.893137254902
"333","B","MeOH",2034,0
"334","B","NH3",2034,0
"335","B","RefPO",2034,1599.06933333333
"336","B","H2",2034,0
"337","G","Oil",2034,1513.04162436548
"338","G","LNG",2034,445.806907179115
"339","G","LPG",2034,480.33067440174
"340","G","MeOH",2034,0
"341","G","NH3",2034,0
"342","G","RefPO",2034,1344.92588832487
"343","G","H2",2034,0
"344","O","Oil",2034,815.474196078431
"345","O","LNG",2034,273.038235294118
"346","O","LPG",2034,283.150762527233
"347","O","MeOH",2034,0
"348","O","NH3",2034,0
"349","O","RefPO",2034,970.802614379085
"350","O","H2",2034,0
"351","C","Oil",2035,1062.75258278146
"352","C","LNG",2035,583.929990539262
"353","C","LPG",2035,713.692210659098
"354","C","MeOH",2035,0
"355","C","NH3",2035,328.880109614067
"356","C","RefPO",2035,1012.14531693472
"357","C","H2",2035,421.727215389467
"358","T","Oil",2035,1276.52224231465
"359","T","LNG",2035,854.814001549987
"360","T","LPG",2035,823.154223714802
"361","T","MeOH",2035,0
"362","T","NH3",2035,298.038598241566
"363","T","RefPO",2035,1139.75200206665
"364","T","H2",2035,569.876001033325
"365","B","Oil",2035,1422.89571564583
"366","B","LNG",2035,1058.70216937933
"367","B","LPG",2035,941.068595003853
"368","B","MeOH",2035,0
"369","B","NH3",2035,399.791899670603
"370","B","RefPO",2035,1279.85328920524
"371","B","H2",2035,395.248809901619
"372","G","Oil",2035,1218.51550044287
"373","G","LNG",2035,718.053777046691
"374","G","LPG",2035,773.660635201822
"375","G","MeOH",2035,0
