"ship_type","fuel_type","year","consumption"
"O","H2",2049,1145.41751527495
"C","Oil",2050,119.054982817869
"C","LNG",2050,261.659302896416
"C","LPG",2050,319.805814651175
"C","MeOH",2050,1566.51293181407
"C","NH3",2050,2652.6839672947
"C","RefPO",2050,113.38569792178
"C","H2",2050,3401.57093765341
"T","Oil",2050,153.012048192771
"T","LNG",2050,409.853700516351
"T","LPG",2050,394.67393383056
"T","MeOH",2050,1635.81959416614
"T","NH3",2050,2572.18529289572
"T","RefPO",2050,136.617900172117
"T","H2",2050,4918.24440619621
"B","Oil",2050,179.150471960022
"B","LNG",2050,533.185928452447
"B","LPG",2050,473.943047513286
"B","MeOH",2050,2200.09351529852
"B","NH3",2050,3624.19345574298
"B","RefPO",2050,161.140636154517
"B","H2",2050,3583.00943920044
"G","Oil",2050,142.468819955229
"G","LNG",2050,335.819361323039
"G","LPG",2050,361.82557448947
"G","MeOH",2050,1699.62802753606
"G","NH3",2050,2829.72552738661
"G","RefPO",2050,126.638951071314
"G","H2",2050,3867.01082735621
"O","Oil",2050,70.9491850431447
"O","LNG",2050,190.042459936995
"O","LPG",2050,197.081069564291
"O","MeOH",2050,1026.89609930867
"O","NH3",2050,1761.49700796773
"O","RefPO",2050,84.4633155275533
"O","H2",2050,2660.59443911793
