"","ship_type","fuel_type","year","consumption"
"176","C","Oil",2030,1355.75555555556
"177","C","LNG",2030,372.460317460317
"178","C","LPG",2030,455.229276895943
"179","C","MeOH",2030,0
"180","C","NH3",2030,0
"181","C","RefPO",2030,1291.19576719577
"182","C","H2",2030,0
"183","T","Oil",2030,1641.05592841163
"184","T","LNG",2030,549.460690316395
"185","T","LPG",2030,529.110294378751
"186","T","MeOH",2030,0
"187","T","NH3",2030,0
"188","T","RefPO",2030,1465.22850751039
"189","T","H2",2030,0
"190","B","Oil",2030,1827.08470588235
"191","B","LNG",2030,679.719012605042
"192","B","LPG",2030,604.194677871148
"193","B","MeOH",2030,0
"194","B","NH3",2030,0
"195","B","RefPO",2030,1643.40952380952
"196","B","H2",2030,0
"197","G","Oil",2030,1554.99637418419
"198","G","LNG",2030,458.168574536414
"199","G","LPG",2030,493.649642598156
"200","G","MeOH",2030,0
"201","G","NH3",2030,0
"202","G","RefPO",2030,1382.21899927484
"203","G","H2",2030,0
"204","O","Oil",2030,838.086274509804
"205","O","LNG",2030,280.609243697479
"206","O","LPG",2030,291.002178649238
"207","O","MeOH",2030,0
"208","O","NH3",2030,0
"209","O","RefPO",2030,997.721755368814
"210","O","H2",2030,0
"211","C","Oil",2031,1341.48444444444
"212","C","LNG",2031,368.539682539683
"213","C","LPG",2031,450.437389770723
"214","C","MeOH",2031,0
"215","C","NH3",2031,0
"216","C","RefPO",2031,1277.60423280423
"217","C","H2",2031,0
"218","T","Oil",2031,1623.78165548098
"219","T","LNG",2031,543.676893576222
"220","T","LPG",2031,523.540712332659
"221","T","MeOH",2031,0
"222","T","NH3",2031,0
"223","T","RefPO",2031,1449.80504953659
"224","T","H2",2031,0
"225","B","Oil",2031,1807.85223529412
"226","B","LNG",2031,672.564075630252
"227","B","LPG",2031,597.834733893557
"228","B","MeOH",2031,0
"229","B","NH3",2031,0
"230","B","RefPO",2031,1626.11047619048
"231","B","H2",2031,0
"232","G","Oil",2031,1538.62799129804
"233","G","LNG",2031,453.34574743603
"234","G","LPG",2031,488.453330570807
"235","G","MeOH",2031,0
"236","G","NH3",2031,0
"237","G","RefPO",2031,1367.66932559826
"238","G","H2",2031,0
"239","O","Oil",2031,829.26431372549
"240","O","LNG",2031,277.655462184874
"241","O","LPG",2031,287.938997821351
"242","O","MeOH",2031,0
"243","O","NH3",2031,0
"244","O","RefPO",2031,987.219421101774
"245","O","H2",2031,0
"246","C","Oil",2032,1327.21333333333
"247","C","LNG",2032,364.619047619048
"248","C","LPG",2032,445.645502645503
"249","C","MeOH",2032,0
"250","C","NH3",2032,0
"251","C","RefPO",2032,1264.0126984127
"252","C","H2",2032,0
"253","T","Oil",2032,1606.50738255034
"254","T","LNG",2032,537.89309683605
"255","T","LPG",2032,517.971130286567
"256","T","MeOH",2032,0
"257","T","NH3",2032,0
"258","T","RefPO",2032,1434.3815915628
"259","T","H2",2032,0
"260","B","Oil",2032,1788.61976470588
"261","B","LNG",2032,665.409138655462
"262","B","LPG",2032,591.474789915966
"263","B","MeOH",2032,0
"264","B","NH3",2032,0
"265","B","RefPO",2032,1608.81142857143
"266","B","H2",2032,0
"267","G","Oil",2032,1522.25960841189
"268","G","LNG",2032,448.522920335647
"269","G","LPG",2032,483.257018543458
"270","G","MeOH",2032,0
"271","G","NH3",2032,0
"272","G","RefPO",2032,1353.11965192168
"273","G","H2",2032,0
"274","O","Oil",2032,820.442352941176
"275","O","LNG",2032,274.701680672269
"276","O","LPG",2032,284.875816993464
"277","O","MeOH",2032,0
"278","O","NH3",2032,0
"279","O","RefPO",2032,976.717086834734
"280","O","H2",2032,0
"281","C","Oil",2033,1312.94222222222
"282","C","LNG",2033,360.698412698413
"283","C","LPG",2033,440.853615520282
"284","C","MeOH",2033,0
"285","C","NH3",2033,0
"286","C","RefPO",2033,1250.42116402116
"287","C","H2",2033,0
"288","T","Oil",2033,1589.23310961969
"289","T","LNG",2033,532.109300095877
"290","T","LPG",2033,512.401548240474
"291","T","MeOH",2033,0
"292","T","NH3",2033,0
"293","T","RefPO",2033,1418.95813358901
"294","T","H2",2033,0
"295","B","Oil",2033,1769.38729411765
"296","B","LNG",2033,658.254201680672
"297","B","LPG",2033,585.114845938375
"298","B","MeOH",2033,0
"299","B","NH3",2033,0
"300","B","RefPO",2033,1591.51238095238
"301","B","H2",2033,0
"302","G","Oil",2033,1505.89122552574
"303","G","LNG",2033,443.700093235264
"304","G","LPG",2033,478.060706516109
"305","G","MeOH",2033,0
"306","G","NH3",2033,0
"307","G","RefPO",2033,1338.5699782451
