"","ship_type","fuel_type","year","consumption"
"131","G","NH3",2023,0
"132","G","RefPO",2023,1642.44413793103
"133","G","H2",2023,0
"134","O","Oil",2023,988.968888888889
"135","O","LNG",2023,0
"136","O","LPG",2023,0
"137","O","MeOH",2023,0
"138","O","NH3",2023,0
"139","O","RefPO",2023,1177.34391534392
"140","O","H2",2023,0
"141","C","Oil",2024,1586.208
"142","C","LNG",2024,0
"143","C","LPG",2024,0
"144","C","MeOH",2024,0
"145","C","NH3",2024,0
"146","C","RefPO",2024,1510.67428571429
"147","C","H2",2024,0
"148","T","Oil",2024,1950.72
"149","T","LNG",2024,0
"150","T","LPG",2024,0
"151","T","MeOH",2024,0
"152","T","NH3",2024,0
"153","T","RefPO",2024,1741.71428571429
"154","T","H2",2024,0
"155","B","Oil",2024,2194.75748571429
"156","B","LNG",2024,0
"157","B","LPG",2024,0
"158","B","MeOH",2024,0
"159","B","NH3",2024,0
"160","B","RefPO",2024,1974.12048979592
"161","B","H2",2024,0
"162","G","Oil",2024,1828.70068965517
"163","G","LNG",2024,0
"164","G","LPG",2024,0
"165","G","MeOH",2024,0
"166","G","NH3",2024,0
"167","G","RefPO",2024,1625.51172413793
"168","G","H2",2024,0
"169","O","Oil",2024,978.773333333334
"170","O","LNG",2024,0
"171","O","LPG",2024,0
"172","O","MeOH",2024,0
"173","O","NH3",2024,0
"174","O","RefPO",2024,1165.20634920635
"175","O","H2",2024,0
"176","C","Oil",2025,1327.21333333333
"177","C","LNG",2025,364.619047619048
"178","C","LPG",2025,445.645502645503
"179","C","MeOH",2025,0
"180","C","NH3",2025,0
"181","C","RefPO",2025,1264.0126984127
"182","C","H2",2025,0
"183","T","Oil",2025,1606.50738255034
"184","T","LNG",2025,537.89309683605
"185","T","LPG",2025,517.971130286567
"186","T","MeOH",2025,0
"187","T","NH3",2025,0
"188","T","RefPO",2025,1434.3815915628
"189","T","H2",2025,0
"190","B","Oil",2025,1788.61976470588
"191","B","LNG",2025,665.409138655462
"192","B","LPG",2025,591.474789915966
"193","B","MeOH",2025,0
"194","B","NH3",2025,0
"195","B","RefPO",2025,1608.81142857143
"196","B","H2",2025,0
"197","G","Oil",2025,1522.25960841189
"198","G","LNG",2025,448.522920335647
"199","G","LPG",2025,483.257018543458
"200","G","MeOH",2025,0
"201","G","NH3",2025,0
"202","G","RefPO",2025,1353.11965192168
"203","G","H2",2025,0
"204","O","Oil",2025,820.442352941177
"205","O","LNG",2025,274.701680672269
"206","O","LPG",2025,284.875816993464
"207","O","MeOH",2025,0
"208","O","NH3",2025,0
"209","O","RefPO",2025,976.717086834734
"210","O","H2",2025,0
"211","C","Oil",2026,1313.24266666667
"212","C","LNG",2026,360.780952380952
"213","C","LPG",2026,440.954497354497
"214","C","MeOH",2026,0
"215","C","NH3",2026,0
"216","C","RefPO",2026,1250.7073015873
"217","C","H2",2026,0
"218","T","Oil",2026,1589.59677852349
"219","T","LNG",2026,532.231064237776
"220","T","LPG",2026,512.51880259934
"221","T","MeOH",2026,0
"222","T","NH3",2026,0
"223","T","RefPO",2026,1419.2828379674
"224","T","H2",2026,0
"225","B","Oil",2026,1769.79218823529
"226","B","LNG",2026,658.404831932773
"227","B","LPG",2026,585.248739495798
"228","B","MeOH",2026,0
"229","B","NH3",2026,0
"230","B","RefPO",2026,1591.87657142857
"231","B","H2",2026,0
"232","G","Oil",2026,1506.23582306019
"233","G","LNG",2026,443.801626437377
"234","G","LPG",2026,478.17010255879
"235","G","MeOH",2026,0
"236","G","NH3",2026,0
"237","G","RefPO",2026,1338.87628716461
"238","G","H2",2026,0
