"","ship_type","fuel_type","year","consumption"
"176","C","Oil",2025,1377.16222222222
"177","C","LNG",2025,378.34126984127
"178","C","LPG",2025,462.417107583774
"179","C","MeOH",2025,0
"180","C","NH3",2025,0
"181","C","RefPO",2025,1311.58306878307
"182","C","H2",2025,0
"183","T","Oil",2025,1666.96733780761
"184","T","LNG",2025,558.136385426654
"185","T","LPG",2025,537.464667447889
"186","T","MeOH",2025,0
"187","T","NH3",2025,0
"188","T","RefPO",2025,1488.36369447108
"189","T","H2",2025,0
"190","B","Oil",2025,1855.93341176471
"191","B","LNG",2025,690.451418067227
"192","B","LPG",2025,613.734593837535
"193","B","MeOH",2025,0
"194","B","NH3",2025,0
"195","B","RefPO",2025,1669.3580952381
"196","B","H2",2025,0
"197","G","Oil",2025,1579.54894851342
"198","G","LNG",2025,465.402815186988
"199","G","LPG",2025,501.444110639179
"200","G","MeOH",2025,0
"201","G","NH3",2025,0
"202","G","RefPO",2025,1404.0435097897
"203","G","H2",2025,0
"204","O","Oil",2025,851.319215686275
"205","O","LNG",2025,285.039915966387
"206","O","LPG",2025,295.596949891068
"207","O","MeOH",2025,0
"208","O","NH3",2025,0
"209","O","RefPO",2025,1013.47525676937
"210","O","H2",2025,0
"211","C","Oil",2026,1362.66577777778
"212","C","LNG",2026,374.35873015873
"213","C","LPG",2026,457.549559082892
"214","C","MeOH",2026,0
"215","C","NH3",2026,0
"216","C","RefPO",2026,1297.77693121693
"217","C","H2",2026,0
"218","T","Oil",2026,1649.42031319911
"219","T","LNG",2026,552.261265580057
"220","T","LPG",2026,531.807144632648
"221","T","MeOH",2026,0
"222","T","NH3",2026,0
"223","T","RefPO",2026,1472.69670821349
"224","T","H2",2026,0
"225","B","Oil",2026,1836.39727058824
"226","B","LNG",2026,683.183508403361
"227","B","LPG",2026,607.274229691877
"228","B","MeOH",2026,0
"229","B","NH3",2026,0
"230","B","RefPO",2026,1651.7859047619
"231","B","H2",2026,0
"232","G","Oil",2026,1562.92211747643
"233","G","LNG",2026,460.50383818502
"234","G","LPG",2026,496.16575157982
"235","G","MeOH",2026,0
"236","G","NH3",2026,0
"237","G","RefPO",2026,1389.26410442349
"238","G","H2",2026,0
"239","O","Oil",2026,842.357960784314
"240","O","LNG",2026,282.039495798319
"241","O","LPG",2026,292.485403050109
"242","O","MeOH",2026,0
"243","O","NH3",2026,0
"244","O","RefPO",2026,1002.8070961718
"245","O","H2",2026,0
"246","C","Oil",2027,1348.16933333333
"247","C","LNG",2027,370.37619047619
"248","C","LPG",2027,452.682010582011
"249","C","MeOH",2027,0
"250","C","NH3",2027,0
"251","C","RefPO",2027,1283.97079365079
"252","C","H2",2027,0
"253","T","Oil",2027,1631.8732885906
"254","T","LNG",2027,546.386145733461
"255","T","LPG",2027,526.149621817407
"256","T","MeOH",2027,0
"257","T","NH3",2027,0
"258","T","RefPO",2027,1457.0297219559
"259","T","H2",2027,0
"260","B","Oil",2027,1816.86112941176
"261","B","LNG",2027,675.915598739496
"262","B","LPG",2027,600.813865546218
"263","B","MeOH",2027,0
"264","B","NH3",2027,0
"265","B","RefPO",2027,1634.21371428571
"266","B","H2",2027,0
"267","G","Oil",2027,1546.29528643945
"268","G","LNG",2027,455.604861183052
"269","G","LPG",2027,490.88739252046
"270","G","MeOH",2027,0
"271","G","NH3",2027,0
"272","G","RefPO",2027,1374.48469905729
"273","G","H2",2027,0
"274","O","Oil",2027,833.396705882353
"275","O","LNG",2027,279.039075630252
"276","O","LPG",2027,289.37385620915
"277","O","MeOH",2027,0
"278","O","NH3",2027,0
"279","O","RefPO",2027,992.13893557423
"280","O","H2",2027,0
"281","C","Oil",2028,1333.67288888889
"282","C","LNG",2028,366.393650793651
"283","C","LPG",2028,447.814462081129
"284","C","MeOH",2028,0
"285","C","NH3",2028,0
"286","C","RefPO",2028,1270.16465608466
"287","C","H2",2028,0
"288","T","Oil",2028,1614.3262639821
"289","T","LNG",2028,540.511025886865
"290","T","LPG",2028,520.492099002166
"291","T","MeOH",2028,0
"292","T","NH3",2028,0
"293","T","RefPO",2028,1441.36273569831
"294","T","H2",2028,0
"295","B","Oil",2028,1797.32498823529
"296","B","LNG",2028,668.64768907563
"297","B","LPG",2028,594.35350140056
"298","B","MeOH",2028,0
"299","B","NH3",2028,0
"300","B","RefPO",2028,1616.64152380952
"301","B","H2",2028,0
"302","G","Oil",2028,1529.66845540247
"303","G","LNG",2028,450.705884181083
"304","G","LPG",2028,485.6090334611
"305","G","MeOH",2028,0
"306","G","NH3",2028,0
"307","G","RefPO",2028,1359.70529369108
"308","G","H2",2028,0
"309","O","Oil",2028,824.435450980392
"310","O","LNG",2028,276.038655462185
"311","O","LPG",2028,286.262309368192
"312","O","MeOH",2028,0
"313","O","NH3",2028,0
"314","O","RefPO",2028,981.470774976657
"315","O","H2",2028,0
"316","C","Oil",2029,1319.17644444444
"317","C","LNG",2029,362.411111111111
"318","C","LPG",2029,442.946913580247
"319","C","MeOH",2029,0
"320","C","NH3",2029,0
"321","C","RefPO",2029,1256.35851851852
"322","C","H2",2029,0
"323","T","Oil",2029,1596.7792393736
"324","T","LNG",2029,534.635906040268
"325","T","LPG",2029,514.834576186925
"326","T","MeOH",2029,0
"327","T","NH3",2029,0
"328","T","RefPO",2029,1425.69574944072
"329","T","H2",2029,0
"330","B","Oil",2029,1777.78884705882
"331","B","LNG",2029,661.379779411765
"332","B","LPG",2029,587.893137254902
"333","B","MeOH",2029,0
"334","B","NH3",2029,0
"335","B","RefPO",2029,1599.06933333333
"336","B","H2",2029,0
"337","G","Oil",2029,1513.04162436548
"338","G","LNG",2029,445.806907179115
"339","G","LPG",2029,480.33067440174
"340","G","MeOH",2029,0
"341","G","NH3",2029,0
"342","G","RefPO",2029,1344.92588832487
"343","G","H2",2029,0
"344","O","Oil",2029,815.474196078431
"345","O","LNG",2029,273.038235294118
"346","O","LPG",2029,283.150762527233
"347","O","MeOH",2029,0
"348","O","NH3",2029,0
"349","O","RefPO",2029,970.802614379085
"350","O","H2",2029,0
"351","C","Oil",2030,1062.75258278146
"352","C","LNG",2030,583.929990539262
"353","C","LPG",2030,713.692210659098
"354","C","MeOH",2030,0
"355","C","NH3",2030,328.880109614067
"356","C","RefPO",2030,1012.14531693472
"357","C","H2",2030,421.727215389467
"358","T","Oil",2030,1276.52224231465
"359","T","LNG",2030,854.814001549987
"360","T","LPG",2030,823.154223714802
"361","T","MeOH",2030,0
"362","T","NH3",2030,298.038598241566
"363","T","RefPO",2030,1139.75200206665
"364","T","H2",2030,569.876001033325
"365","B","Oil",2030,1422.89571564583
"366","B","LNG",2030,1058.70216937933
"367","B","LPG",2030,941.068595003853
"368","B","MeOH",2030,0
"369","B","NH3",2030,399.791899670603
"370","B","RefPO",2030,1279.85328920524
"371","B","H2",2030,395.248809901619
"372","G","Oil",2030,1218.51550044287
"373","G","LNG",2030,718.053777046691
"374","G","LPG",2030,773.660635201822
"375","G","MeOH",2030,0
"376","G","NH3",2030,336.142207018723
"377","G","RefPO",2030,1083.12488928255
"378","G","H2",2030,459.361002151082
"379","O","Oil",2030,654.76217765043
"380","O","LNG",2030,438.456815390913
"381","O","LPG",2030,454.695956701687
"382","O","MeOH",2030,0
"383","O","NH3",2030,225.780061258769
"384","O","RefPO",2030,779.478782917178
"385","O","H2",2030,341.021967526265
"386","C","Oil",2031,1050.94422075055
"387","C","LNG",2031,577.44187953327
"388","C","LPG",2031,705.76229720733
"389","C","MeOH",2031,0
"390","C","NH3",2031,325.225886173911
"391","C","RefPO",2031,1000.89925785767
"392","C","H2",2031,417.041357440695
"393","T","Oil",2031,1262.33866184448
"394","T","LNG",2031,845.316068199431
"395","T","LPG",2031,814.008065673527
"396","T","MeOH",2031,0
"397","T","NH3",2031,294.727058261105
"398","T","RefPO",2031,1127.08809093258
"399","T","H2",2031,563.544045466288
"400","B","Oil",2031,1407.08576324976
"401","B","LNG",2031,1046.93881194179
"402","B","LPG",2031,930.612277281589
"403","B","MeOH",2031,0
"404","B","NH3",2031,395.34976745204
"405","B","RefPO",2031,1265.63269710296
"406","B","H2",2031,390.857156458267
"407","G","Oil",2031,1204.97643932684
"408","G","LNG",2031,710.075401746172
"409","G","LPG",2031,765.064405921802
"410","G","MeOH",2031,0
"411","G","NH3",2031,332.407293607404
"412","G","RefPO",2031,1071.09016829052
"413","G","H2",2031,454.25699101607
"414","O","Oil",2031,647.487042343203
"415","O","LNG",2031,433.58507299768
"416","O","LPG",2031,449.643779405002
"417","O","MeOH",2031,0
"418","O","NH3",2031,223.271393911449
"419","O","RefPO",2031,770.817907551432
"420","O","H2",2031,337.232834553751
"421","C","Oil",2032,1039.13585871965
"422","C","LNG",2032,570.953768527278
"423","C","LPG",2032,697.832383755562
"424","C","MeOH",2032,0
"425","C","NH3",2032,321.571662733755
"426","C","RefPO",2032,989.653198780616
"427","C","H2",2032,412.355499491923
"428","T","Oil",2032,1248.15508137432
"429","T","LNG",2032,835.818134848876
"430","T","LPG",2032,804.861907632251
"431","T","MeOH",2032,0
"432","T","NH3",2032,291.415518280643
"433","T","RefPO",2032,1114.4241797985
"434","T","H2",2032,557.212089899251
"435","B","Oil",2032,1391.2758108537
"436","B","LNG",2032,1035.17545450424
"437","B","LPG",2032,920.155959559323
"438","B","MeOH",2032,0
"439","B","NH3",2032,390.907635233478
"440","B","RefPO",2032,1251.41210500068
"441","B","H2",2032,386.465503014916
"442","G","Oil",2032,1191.43737821081
"443","G","LNG",2032,702.097026445653
"444","G","LPG",2032,756.468176641782
"445","G","MeOH",2032,0
"446","G","NH3",2032,328.672380196084
"447","G","RefPO",2032,1059.05544729849
"448","G","H2",2032,449.152979881058
"449","O","Oil",2032,640.211907035976
"450","O","LNG",2032,428.713330604448
"451","O","LPG",2032,444.591602108316
"452","O","MeOH",2032,0
"453","O","NH3",2032,220.76272656413
"454","O","RefPO",2032,762.157032185685
"455","O","H2",2032,333.443701581237
"456","C","Oil",2033,1027.32749668874
