"","ship_type","fuel_type","year","consumption"
"280","O","H2",2027,0
"281","C","Oil",2028,1312.94222222222
"282","C","LNG",2028,360.698412698413
"283","C","LPG",2028,440.853615520282
"284","C","MeOH",2028,0
"285","C","NH3",2028,0
"286","C","RefPO",2028,1250.42116402116
"287","C","H2",2028,0
"288","T","Oil",2028,1589.23310961969
"289","T","LNG",2028,532.109300095877
"290","T","LPG",2028,512.401548240474
"291","T","MeOH",2028,0
"292","T","NH3",2028,0
"293","T","RefPO",2028,1418.95813358901
"294","T","H2",2028,0
"295","B","Oil",2028,1769.38729411765
"296","B","LNG",2028,658.254201680672
"297","B","LPG",2028,585.114845938375
"298","B","MeOH",2028,0
"299","B","NH3",2028,0
"300","B","RefPO",2028,1591.51238095238
"301","B","H2",2028,0
"302","G","Oil",2028,1505.89122552574
"303","G","LNG",2028,443.700093235264
"304","G","LPG",2028,478.060706516109
"305","G","MeOH",2028,0
"306","G","NH3",2028,0
"307","G","RefPO",2028,1338.5699782451
"308","G","H2",2028,0
"309","O","Oil",2028,811.620392156863
"310","O","LNG",2028,271.747899159664
"311","O","LPG",2028,281.812636165577
"312","O","MeOH",2028,0
"313","O","NH3",2028,0
"314","O","RefPO",2028,966.214752567694
"315","O","H2",2028,0
"316","C","Oil",2029,1298.67111111111
"317","C","LNG",2029,356.777777777778
"318","C","LPG",2029,436.061728395062
"319","C","MeOH",2029,0
"320","C","NH3",2029,0
"321","C","RefPO",2029,1236.82962962963
"322","C","H2",2029,0
"323","T","Oil",2029,1571.95883668904
"324","T","LNG",2029,526.325503355704
"325","T","LPG",2029,506.831966194382
"326","T","MeOH",2029,0
"327","T","NH3",2029,0
"328","T","RefPO",2029,1403.53467561521
"329","T","H2",2029,0
"330","B","Oil",2029,1750.15482352941
"331","B","LNG",2029,651.099264705882
"332","B","LPG",2029,578.754901960784
"333","B","MeOH",2029,0
"334","B","NH3",2029,0
"335","B","RefPO",2029,1574.21333333333
"336","B","H2",2029,0
"337","G","Oil",2029,1489.52284263959
"338","G","LNG",2029,438.87726613488
"339","G","LPG",2029,472.86439448876
"340","G","MeOH",2029,0
"341","G","NH3",2029,0
"342","G","RefPO",2029,1324.02030456853
"343","G","H2",2029,0
"344","O","Oil",2029,802.798431372549
"345","O","LNG",2029,268.794117647059
"346","O","LPG",2029,278.749455337691
"347","O","MeOH",2029,0
"348","O","NH3",2029,0
"349","O","RefPO",2029,955.712418300654
"350","O","H2",2029,0
"351","C","Oil",2030,1046.23311258278
"352","C","LNG",2030,574.853358561968
"353","C","LPG",2030,702.598549353516
"354","C","MeOH",2030,0
"355","C","NH3",2030,323.76798355789
"356","C","RefPO",2030,996.412488174077
"357","C","H2",2030,415.171870072532
"358","T","Oil",2030,1256.67992766727
"359","T","LNG",2030,841.526737277189
"360","T","LPG",2030,810.359080340997
"361","T","MeOH",2030,0
"362","T","NH3",2030,293.405873916568
"363","T","RefPO",2030,1122.03564970292
"364","T","H2",2030,561.01782485146
"365","B","Oil",2030,1400.77816566169
"366","B","LNG",2030,1042.24565897447
"367","B","LPG",2030,926.440585755089
"368","B","MeOH",2030,0
