"","ship_type","fuel_type","year","consumption"
"416","O","LPG",2031,326.166472107255
"417","O","MeOH",2031,0
"418","O","NH3",2031,161.958524080844
"419","O","RefPO",2031,559.142523612438
"420","O","H2",2031,244.624854080441
"421","C","Oil",2032,753.777306843267
"422","C","LNG",2032,414.163355408388
"423","C","LPG",2032,506.199656610253
"424","C","MeOH",2032,0
"425","C","NH3",2032,233.264418563345
"426","C","RefPO",2032,717.88314937454
"427","C","H2",2032,299.117978906058
"428","T","Oil",2032,905.39746835443
"429","T","LNG",2032,606.29294755877
"430","T","LPG",2032,583.837653204742
"431","T","MeOH",2032,0
"432","T","NH3",2032,211.389495125855
"433","T","RefPO",2032,808.390596745027
"434","T","H2",2032,404.195298372513
"435","B","Oil",2032,1009.21561409076
"436","B","LNG",2032,750.904474769914
"437","B","LPG",2032,667.470644239924
"438","B","MeOH",2032,0
"439","B","NH3",2032,283.559942656409
"440","B","RefPO",2032,907.760076166296
"441","B","H2",2032,280.337670580768
"442","G","Oil",2032,864.255093002657
"443","G","LNG",2032,509.293179805137
"444","G","LPG",2032,548.73339238264
"445","G","MeOH",2032,0
"446","G","NH3",2032,238.415198069699
"447","G","RefPO",2032,768.226749335695
"448","G","H2",2032,325.810451727192
"449","O","Oil",2032,464.402419611589
"450","O","LNG",2032,310.98376313276
"451","O","LPG",2032,322.501680285825
"452","O","MeOH",2032,0
"453","O","NH3",2032,160.138765383306
"454","O","RefPO",2032,552.860023347129
"455","O","H2",2032,241.876260214369
"456","C","Oil",2033,745.211655629139
"457","C","LNG",2033,409.456953642384
"458","C","LPG",2033,500.447387785136
"459","C","MeOH",2033,0
"460","C","NH3",2033,230.613686534216
"461","C","RefPO",2033,709.725386313465
"462","C","H2",2033,295.718910963944
"463","T","Oil",2033,895.108860759493
"464","T","LNG",2033,599.403254972875
"465","T","LPG",2033,577.203134418324
"466","T","MeOH",2033,0
"467","T","NH3",2033,208.987341772152
"468","T","RefPO",2033,799.204339963833
"469","T","H2",2033,399.602169981917
"470","B","Oil",2033,997.747254839733
"471","B","LNG",2033,742.371469374801
"472","B","LPG",2033,659.885750555379
"473","B","MeOH",2033,0
"474","B","NH3",2033,280.337670580768
"475","B","RefPO",2033,897.444620755316
"476","B","H2",2033,277.152015233259
"477","G","Oil",2033,854.434012400354
"478","G","LNG",2033,503.505757307351
"479","G","LPG",2033,542.497785651018
"480","G","MeOH",2033,0
"481","G","NH3",2033,235.70593445527
"482","G","RefPO",2033,759.496899911426
"483","G","H2",2033,322.108060230292
"484","O","Oil",2033,459.12511938873
"485","O","LNG",2033,307.449856733524
"486","O","LPG",2033,318.836888464396
"487","O","MeOH",2033,0
"488","O","NH3",2033,158.319006685769
"489","O","RefPO",2033,546.577523081821
"490","O","H2",2033,239.127666348297
"491","C","Oil",2034,736.646004415011
"492","C","LNG",2034,404.75055187638
"493","C","LPG",2034,494.695118960019
"494","C","MeOH",2034,0
"495","C","NH3",2034,227.962954505087
"496","C","RefPO",2034,701.567623252391
"497","C","H2",2034,292.31984302183
"498","T","Oil",2034,884.820253164557
"499","T","LNG",2034,592.51356238698
"500","T","LPG",2034,570.568615631907
"501","T","MeOH",2034,0
"502","T","NH3",2034,206.585188418449
"503","T","RefPO",2034,790.01808318264
"504","T","H2",2034,395.00904159132
"505","B","Oil",2034,986.278895588702
"506","B","LNG",2034,733.838463979689
"507","B","LPG",2034,652.300856870835
"508","B","MeOH",2034,0
"509","B","NH3",2034,277.115398505127
"510","B","RefPO",2034,887.129165344335
"511","B","H2",2034,273.966359885751
"512","G","Oil",2034,844.612931798051
"513","G","LNG",2034,497.718334809566
"514","G","LPG",2034,536.262178919398
"515","G","MeOH",2034,0
"516","G","NH3",2034,232.996670840842
"517","G","RefPO",2034,750.767050487157
"518","G","H2",2034,318.405668733392
"519","O","Oil",2034,453.847819165871
"520","O","LNG",2034,303.915950334288
"521","O","LPG",2034,315.172096642966
"522","O","MeOH",2034,0
"523","O","NH3",2034,156.499247988231
"524","O","RefPO",2034,540.295022816513
"525","O","H2",2034,236.379072482224
"526","C","Oil",2035,425.026288659794
"527","C","LNG",2035,622.749140893471
